total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
143060000000.0,94320000000.0,-9140000000.0,85180000000.0,-7430000000.0,77750000000.0,550000000.0,2020-12-31,GHON.JK,94320000000,111110000000,112280000000,827630000000.0,14860000000.0,157780000000.0,81650000000.0,669850000000.0,669830000000.0,112290000000,14860000000,,790370000000,106450000000.0,27110000000.0
164920000000.0,107110000000.0,-11690000000.0,95460000000.0,-5610000000.0,89860000000.0,550000000.0,2021-12-31,GHON.JK,107110000000,123590000000,131660000000,1020000000000.0,51910000000.0,302460000000.0,209760000000.0,719020000000.0,719010000000.0,250140000000,51910000000,,945620000000,133740000000.0,-48020000000.0
186300000000.0,108110000000.0,-13350000000.0,94790000000.0,-4059999999.0,90730000000.0,550000000.0,2022-12-31,GHON.JK,108110000000,136100000000,138300000000,1160000000000.0,73600000000.0,375810000000.0,283520000000.0,780810000000.0,780810000000.0,306360000000,73600000000,,1060000000000,126530000000.0,11330000000.0
203640000000.0,121370000000.0,-23070000000.0,104580000000.0,-4360000000.0,100230000000.0,550000000.0,2023-12-31,GHON.JK,121370000000,150150000000,152110000000,1359999999999.0,87060000000.0,524100000000.0,412870000000.0,835040000000.0,813280000000.0,404000000000,92590000000,,1230000000000,132570000000.0,28810000000.0
38560000000.0,-16510000000.0,,-4200000000.0,612360000.0,-3590000000.0,1800000000.0,2019-12-31,RELI.JK,-15860000000,-11660000000,,581910000000.0,164660000000.0,128479999999.0,11400000000.0,453430000000.0,453430000000.0,,167060000000,,,-25150000000.0,-28570000000.0
44000000000.0,6250000000.0,,34380000000.0,717700000.0,35090000000.0,1800000000.0,2020-12-31,RELI.JK,6250000000,12550000000,,686020000000.0,169450000000.0,205550000000.0,738380000.0,480470000000.0,480470000000.0,,385030000000,,,-55200000000.0,-61710000000.0
63670000000.0,19940000000.0,,19840000000.0,-1210000000.0,21190000000.0,1800000000.0,2021-12-31,RELI.JK,19940000000,25260000000,,660310000000.0,176170000000.0,180230000000.0,253380000.0,480080000000.0,479860000000.0,,399650000000,,,1080000000.0,-891570000.0
73310000000.0,38230000000.0,,39750000000.0,-2469999999.0,36230000000.0,1800000000.0,2022-12-31,RELI.JK,38230000000,43320000000,,729120000000.0,39290000000.0,132229999999.0,85240000.0,596890000000.0,596680000000.0,,439640000000,,,64040000000.0,62990000000.0
68810000000.0,35470000000.0,,34600000000.0,1490000000.0,36100000000.0,1800000000.0,2023-12-31,RELI.JK,35470000000,40450000000,,758810000000.0,78280000000.0,128930000000.0,452570000.0,629880000000.0,629670000000.0,,406680000000,,,-14880000000.0,-20510000000.0
12620000000.0,475890000.0,0.0,550640000.0,-290500000.0,260140000.0,430960000.0,2019-12-31,KJEN.JK,475890000,1420000000,7510000000,67670000000.0,1440000000.0,2049999999.0,0.0,65620000000.0,65620000000.0,1220000000,1440000000,,62350000000,1210000000.0,-37820000000.0
13160000000.0,-988340000.0,-578470000.0,-2000000000.0,317840000.0,-1680000000.0,500000000.0,2020-12-31,KJEN.JK,-988340000,959130000,5040000000,73130000000.0,153720000.0,9170000000.0,5810000000.0,63960000000.0,63960000000.0,4740000000,153720000,,62930000000,-1290000000.0,-1770000000.0
8449999999.0,-1780000000.0,-667420000.0,-2300000000.0,462970000.0,-1839999999.0,500000000.0,2021-12-31,KJEN.JK,-1780000000,-22740000,2780000000,69140000000.0,331140000.0,6900000000.0,4700000000.0,62240000000.0,62240000000.0,2690000000,331140000,,61620000000,-1150000000.0,-1160000000.0
8430000000.0,-611220000.0,-415730000.0,-100170000.0,6070000.0,-94100000.0,500000000.0,2022-12-31,KJEN.JK,-611220000,998450000,3440000000,68060000000.0,97860000.0,5810000000.0,3050000000.0,62250000000.0,62250000000.0,3260000000,97860000,,60080000000,752280000.0,747820000.0
7780000000.0,-529159999.0,-182570000.0,112540000.0,-89690000.0,22850000.0,500000000.0,2023-12-31,KJEN.JK,-529159999,752690000,3420000000,66500000000.0,573730000.0,4230000000.0,2750000000.0,62270000000.0,62270000000.0,3270000000,573730000,,58640000000,1410000000.0,1280000000.0
407450000000.0,18990000000.0,-4830000000.0,13900000000.0,-6680000000.0,7080000000.0,1000000000.0,2019-12-31,CINT.JK,18990000000,30950000000,111800000000,521490000000.0,44700000000.0,131820000000.0,49290000000.0,389670000000.0,378060000000.0,105480000000,44700000000,,270769999999,1960000000.0,-5430000000.0
330680000000.0,10100000000.0,-6860000000.0,6560000000.0,-6320000000.0,1070000000.0,1000000000.0,2020-12-31,CINT.JK,10100000000,22640000000,93570000000,498020000000.0,40190000000.0,112660000000.0,42670000000.0,385360000000.0,374700000000.0,94590000000,40190000000,,262130000000,9910000000.0,6840000000.0
287150000000.0,-93490000000.0,-6560000000.0,-99230000000.0,1010000000.0,-98860000000.0,1000000000.0,2021-12-31,CINT.JK,-93490000000,-80810000000,9760000000,492700000000.0,34660000000.0,143180000000.0,36970000000.0,349510000000.0,337380000000.0,121620000000,34660000000,,332070000000,6580000000.0,1800000000.0
437620000000.0,14530000000.0,-6550000000.0,2069999999.0,-6220000000.0,-5820000000.0,1000000000.0,2022-12-31,CINT.JK,14530000000,26970000000,140700000000,426430000000.0,37880000000.0,145240000000.0,71290000000.0,281190000000.0,268440000000.0,132449999999,37880000000,,241570000000,-30310000000.0,-34159999999.0
456910000000.0,23510000000.0,-6689999999.0,15580000000.0,-9720000000.0,4200000000.0,1000000000.0,2023-12-31,CINT.JK,23510000000,35130000000,144020000000,445280000000.0,29820000000.0,153220000000.0,54190000000.0,292070000000.0,279780000000.0,137930000000,29820000000,,247390000000,21270000000.0,18440000000.0
205280000000.0,30020000000.0,-13890000000.0,14640000000.0,-4410000000.0,10230000000.0,1080000000.0,2019-12-31,AMIN.JK,30020000000,34690000000,54480000000,420680000000.0,3410000000.0,210720000000.0,118780000000.0,209960000000.0,209960000000.0,180660000000,3410000000,,112820000000,11980000000.0,9730000000.0
129509999999.0,-45620000000.0,-9980000000.0,-56810000000.0,-302970000.0,-57110000000.0,1080000000.0,2020-12-31,AMIN.JK,-45620000000,-41190000000,-23690000000,350380000000.0,5600000000.0,209060000000.0,100050000000.0,141320000000.0,141320000000.0,182670000000,5600000000,,110000000000,23510000000.0,21450000000.0
182180000000.0,11320000000.0,-6200000000.0,5730000000.0,-1910000000.0,3820000000.0,1080000000.0,2021-12-31,AMIN.JK,11320000000,15060000000,25190000000,311500000000.0,6800000000.0,165030000000.0,58780000000.0,146470000000.0,146470000000.0,147960000000,6800000000,,105690000000,47100000000.0,44290000000.0
217840000000.0,15030000000.0,-6410000000.0,7760000000.0,166380000.0,7930000000.0,1080000000.0,2022-12-31,AMIN.JK,15030000000,18540000000,29710000000,323050000000.0,11980000000.0,168880000000.0,43650000000.0,154170000000.0,154170000000.0,156570000000,11980000000,,103510000000,19930000000.0,18760000000.0
336800000000.0,20690000000.0,-4790000000.0,15230000000.0,227190000.0,15460000000.0,1080000000.0,2023-12-31,AMIN.JK,20690000000,24040000000,42740000000,349830000000.0,8750000000.0,180750000000.0,56050000000.0,169090000000.0,169090000000.0,167930000000,8750000000,,102470000000,-15840000000.0,-15850000000.0
68170000000.0,-10040000000.0,-3100000000.0,-11690000000.0,-2580000000.0,-14270000000.0,10350000000.0,2019-12-31,PSKT.JK,-10040000000,3100000000,31490000000,464540000000.0,17340000000.0,66200000000.0,23480000000.0,398340000000.0,398370000000.0,36950000000,17340000000,,393100000000,1110000000.0,-571250000.0
42430000000.0,-21380000000.0,-2670000000.0,-22960000000.0,-6060000000.0,-29020000000.0,10350000000.0,2020-12-31,PSKT.JK,-21380000000,-8560000000,16260000000,436430000000.0,9280000000.0,67269999999.0,21310000000.0,369160000000.0,369190000000.0,33570000000,9280000000,,421760000000,-3810000000.0,-6380000000.0
47270000000.0,-9320000000.0,-2400000000.0,-11500000000.0,-631400000.0,-12130000000.0,10350000000.0,2021-12-31,PSKT.JK,-9320000000,2790000000,20210000000,424360000000.0,7750000000.0,67000000000.0,20230000000.0,357370000000.0,357390000000.0,32549999999,7750000000,,410740000000,576690000.0,-444520000.0
58870000000.0,-4230000000.0,-2200000000.0,-4059999999.0,-3360000000.0,-7420000000.0,10350000000.0,2022-12-31,PSKT.JK,-4230000000,5610000000,30860000000,410700000000.0,11450000000.0,59830000000.0,16980000000.0,350870000000.0,350890000000.0,29870000000,11450000000,,394650000000,11100000000.0,6939999999.0
54340000000.0,-6240000000.0,-1750000000.0,-7410000000.0,-3250000000.0,-10660000000.0,10350000000.0,2023-12-31,PSKT.JK,-6240000000,3300000000,26250000000,399900000000.0,6800000000.0,59750000000.0,12640000000.0,340150000000.0,340170000000.0,30080000000,6800000000,,388090000000,2029999999.0,-242160000.0
32840000000.0,-133090000000.0,-893880000.0,-137259999999.0,2310000000.0,-134949999999.0,833440000.0,2019-12-31,CANI.JK,-133090000000,-67379999999,-51300000000,553610000000.0,502920000.0,791980000000.0,35320000000.0,-238380000000.0,-238380000000.0,785210000000,502920000,,504490000000,-21170000000.0,-21200000000.0
23710000000.0,-86080000000.0,-1170000000.0,-83490000000.0,2820000000.0,-80670000000.0,833440000.0,2020-12-31,CANI.JK,-86080000000,-27220000000,-57660000000,415310000000.0,458730000.0,736590000000.0,35710000000.0,-321280000000.0,-321280000000.0,731920000000,458730000,,379510000000,-11250000000.0,-11250000000.0
