total_revenue,operating_income,interest_expense_non_operating,pretax_income,income_taxes,net_income,diluted_shares_outstanding,date,symbol,ebit,ebitda,gross_income,total_assets,cash_only,total_liabilities,total_debt,total_equity,stockholders_equity,total_current_liabilities,cash_and_short_term_investments,total_cash_and_due_from_banks,total_non_current_assets,net_operating_cash_flow,free_cash_flow
92320000000,3260000000,-1410000000.0,2360000000,-866650000,1200000000,1000000000,2023-03-31,CINT.JK,3260000000,6320000000,29090000000,513370000000.0,17510000000.0,173940000000.0,82570000000.0,339430000000.0,327310000000.0,155070000000,17510000000,,303650000000,-31840000000,-31840000000.0
110400000000,-1250000000,-1880000000.0,-2020000000,-1180000000,-3450000000,1000000000,2023-06-30,CINT.JK,-1250000000,1870000000,30290000000,514900000000.0,10080000000.0,180090000000.0,97490000000.0,334810000000.0,323350000000.0,162050000000,10080000000,,301340000000,-16730000000,-17780000000.0
92190000000,3510000000,-2109999999.0,1920000000,-858920000,736600000,1000000000,2023-09-30,CINT.JK,3510000000,6900000000,27130000000,489310000000.0,12050000000.0,153450000000.0,77890000000.0,335870000000.0,324090000000.0,135280000000,12050000000,,299660000000,22810000000,21230000000.0
162000000000,18010000000,-1280000000.0,13320000000,-6810000000,5720000000,1000000000,2023-12-31,CINT.JK,18010000000,20050000000,57510000000,445280000000.0,29820000000.0,153220000000.0,54190000000.0,292070000000.0,279780000000.0,137930000000,29820000000,,247390000000,47030000000,46830000000.0
107820000000,4939999999,-1450000000.0,3600000000,-901030000,2490000000,1000000000,2024-03-31,CINT.JK,4939999999,8000000000,31990000000,473730000000.0,23820000000.0,178960000000.0,91520000000.0,294770000000.0,282270000000.0,163400000000,23820000000,,245080000000,-42520000000,-43340000000.0
108700000000,5040000000,-1620000000.0,4610000000,-2400000000,1410000000,1000000000,2024-06-30,CINT.JK,5040000000,7950000000,32700000000,445370000000.0,16280000000.0,154570000000.0,86890000000.0,290800000000.0,279690000000.0,139230000000,16280000000,,242200000000,3430000000,3170000000.0
63510000000,4590000000,-1390000000.0,2719999999,-541460000,2180000000,1080000000,2022-09-30,AMIN.JK,4590000000,5470000000,8680000000,311720000000.0,4090000000.0,161010000000.0,55170000000.0,150720000000.0,150720000000.0,143960000000,4090000000,,103790000000,1200000000,1090000000.0
60430000000,3860000000,-1260000000.0,2250000000,1430000000,3680000000,1080000000,2022-12-31,AMIN.JK,3860000000,4720000000,8070000000,323050000000.0,11980000000.0,168880000000.0,43650000000.0,154170000000.0,154170000000.0,156570000000,11980000000,,103510000000,20830000000,19950000000.0
72370000000,6120000000,-1160000000.0,4700000000,0,4700000000,1080000000,2023-03-31,AMIN.JK,6120000000,6950000000,9760000000,335400000000.0,18940000000.0,176530000000.0,54210000000.0,158870000000.0,158870000000.0,163950000000,18940000000,,103160000000,-3130000000,-3410000000.0
74290000000,5250000000,-1380000000.0,4170000000,0,4170000000,1080000000,2023-06-30,AMIN.JK,5250000000,6080000000,11010000000,339650000000.0,11910000000.0,176610000000.0,44730000000.0,163040000000.0,163040000000.0,163860000000,11910000000,,102450000000,2310000000,2180000000.0
